"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"303817";"Q115959697";"tt13906272";"0";;"Re:Zero kara Hajimeru Isekai Seikatsu - Shin Henshuu-ban";"0"
"303882";"Q127868040";"tt3880792";"0";;"Socks";"0"
"303915";"Q4368245";"tt0085072";"309876";;"Teenager";"0"
"303916";"Q72963848";"tt0313755";"150628";;"Viento del pueblo: Miguel Hernández";"0"
"303917";"Q4013843";"tt1781844";"250222";;"Violetta";"0"
"303920";"Q21707913";"tt3248160";"0";;"Krónika: A második magyar hadsereg a Donnál";"0"
"303922";"Q3818473";"tt0465725";"208001";;"L'amore e la guerra";"0"
"303926";"Q110473827";"tt0478944";"0";;"Mafalda of Savoy";"0"
"303987";"Q3847339";"tt0306354";"110308";;"Maria Josè, l'ultima regina";"0"
"304133";"Q20546100";"tt2227736";"0";;"Salaó";"0"
"304136";"Q123341905";"tt0991288";"350799";;"La bella otero";"0"
"304142";"Q110919510";"tt0078700";"291493";;"Theodor Chindler - Die Geschichte einer deutschen Familie";"0"
"304145";"Q17628192";"tt2958722";"0";;"Castle Chronicle";"0"
"304283";"Q31079973";"tt2099872";"0";;"Dauinger";"0"
"304421";"Q16936957";"tt0354588";"0";;"Fred the Caveman";"0"
"304455";"Q21008118";"tt0270115";"0";;"Les Cent Livres des Hommes";"0"
"304489";"Q131394565";"tt36282283";"0";;"Drag Race France All Stars";"0"
"304510";"Q130633009";"tt31862843";"0";;"Reykjavik Fusion";"0"
"304585";"Q1389514";"tt0283797";"0";;"Spott-Light";"0"
